X	19249236	0.997	10.22906653	[0.5029, 0.5472, 0.6452, 0.7568, 0.8231, 0.8991, 0.8989]
2L	4674690	0.998	11.89497538	[0.35, 0.4538, 0.7027, 0.6779, 0.7742, 0.803, 0.7656]
2L	5294735	0.998	8.57996269	[0.2704, 0.359, 0.52, 0.5913, 0.6934, 0.8115, 0.6096]
2L	6848753	0.998	8.33001705	[0.4013, 0.3802, 0.3913, 0.5269, 0.6222, 0.6311, 0.7723]
2L	7025562	0.998	17.17936603	[0.3388, 0.4478, 0.45, 0.7679, 0.8333, 0.8596, 0.9545]
2L	7124623	0.998	16.14254446	[0.3169, 0.4189, 0.36, 0.6455, 0.8696, 0.8182, 0.8846]
2L	10049671	0.998	10.41675553	[0.3386, 0.3387, 0.3636, 0.5074, 0.5625, 0.76, 0.741]
2L	10652510	0.998	17.49953296	[0.2657, 0.209, 0.3667, 0.355, 0.5217, 0.6311, 0.7727]
2L	10662058	0.998	23.65937909	[0.1176, 0.2619, 0.2791, 0.5684, 0.5687, 0.6463, 0.6352]
2L	13574098	0.998	21.94106374	[0.1693, 0.2051, 0.303, 0.518, 0.5827, 0.6349, 0.6978]
2L	14187642	0.998	16.24347355	[0.4211, 0.3496, 0.5897, 0.8009, 0.8582, 0.8045, 0.8571]
2L	14443759	0.998	12.69511117	[0.5659, 0.6577, 0.8261, 0.774, 0.9293, 0.9342, 0.9504]
2L	14443763	0.998	12.27972853	[0.5703, 0.6339, 0.7083, 0.7714, 0.9216, 0.9306, 0.9496]
2L	14854880	0.998	23.39712575	[0.2749, 0.5146, 0.5172, 0.6318, 0.8108, 0.8696, 0.8548]
2L	14854916	0.998	30.12396049	[0.2093, 0.4953, 0.5385, 0.6816, 0.7982, 0.9082, 0.864]
2L	14865174	0.998	26.73831397	[0.199, 0.3651, 0.3077, 0.6195, 0.6944, 0.7895, 0.7755]
2L	15109135	0.998	30.31075111	[0.1389, 0.3462, 0.5185, 0.4265, 0.6716, 0.7591, 0.7788]
2L	18836642	0.998	5.98003977	[0.5287, 0.5543, 0.4194, 0.6337, 0.8505, 0.8333, 0.8067]
2L	19679145	0.998	10.00562348	[0.1264, 0.1, 0.087, 0.1573, 0.2759, 0.4545, 0.4896]
2R	1139108	0.998	27.76729083	[0.1512, 0.3269, 0.4333, 0.509, 0.6288, 0.8257, 0.7965]
2R	1144554	0.998	27.27749044	[0.2526, 0.2463, 0.3333, 0.4789, 0.6968, 0.6978, 0.8269]
2R	1145218	0.998	18.91286182	[0.2174, 0.27, 0.375, 0.564, 0.6825, 0.8033, 0.7838]
2R	1145333	0.998	23.78980794	[0.1558, 0.2963, 0.3, 0.5269, 0.7287, 0.7706, 0.7843]
2R	1147993	0.998	19.87435677	[0.2013, 0.1776, 0.4286, 0.4024, 0.7232, 0.7075, 0.814]
2R	1148870	0.998	19.95833462	[0.1611, 0.1429, 0.2581, 0.4054, 0.4796, 0.732, 0.7157]
2R	1150656	0.998	25.80932511	[0.1477, 0.2778, 0.34, 0.4629, 0.7967, 0.7368, 0.7938]
2R	1157487	0.998	27.61987762	[0.1553, 0.2442, 0.3846, 0.4966, 0.6, 0.7786, 0.8605]
2R	1159942	0.998	31.6442225	[0.1667, 0.3196, 0.5676, 0.5348, 0.7304, 0.79, 0.875]
2R	1164384	0.998	8.92164437	[0.4304, 0.4639, 0.3462, 0.569, 0.7583, 0.8083, 0.8125]
2R	1165400	0.998	22.13524495	[0.3611, 0.4762, 0.6176, 0.6529, 0.869, 0.9106, 0.8993]
2R	1165481	0.998	28.8015697	[0.1888, 0.367, 0.4839, 0.6461, 0.7953, 0.8468, 0.8345]
2R	1165614	0.998	33.25857555	[0.1706, 0.2517, 0.4889, 0.4675, 0.6615, 0.7652, 0.8056]
2R	1664265	0.998	19.5493903	[0.2199, 0.3165, 0.0909, 0.4433, 0.6842, 0.7769, 0.8242]
2R	1883834	0.998	15.45913116	[0.4556, 0.4599, 0.625, 0.6923, 0.8507, 0.874, 0.8811]
2R	1883854	0.998	10.81034024	[0.5455, 0.5255, 0.6765, 0.7283, 0.8741, 0.8607, 0.8766]
